Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Ecotype,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Experimental_Factor:_individual (exp),external_id,genotype,Individual,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism_part,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_name,SRA Study,Submitter_Id,ENA_first_public,ena_last_update,INSDC_center_alias,ena_first_public,ena_last_update,scientific_name
ERR7624587,WGS,300,1883252400,PRJEB49306,SAMEA11057336,ArrayExpress,699291733,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195167,Plate1_A1,SAMEA11057336,wild type genotype,Plate1_A1,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_A1_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:13:00Z,1,SAMEA11057336,E-MTAB-11254:Plate1_A1,ERP133800,E-MTAB-11254:Plate1_A1,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624588,WGS,300,1191174300,PRJEB49306,SAMEA11057337,ArrayExpress,430709700,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195168,Plate1_A10,SAMEA11057337,wild type genotype,Plate1_A10,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_A10_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057337,E-MTAB-11254:Plate1_A10,ERP133800,E-MTAB-11254:Plate1_A10,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624589,WGS,300,1259950500,PRJEB49306,SAMEA11057338,ArrayExpress,455794188,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195169,Plate1_A11,SAMEA11057338,wild type genotype,Plate1_A11,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_A11_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057338,E-MTAB-11254:Plate1_A11,ERP133800,E-MTAB-11254:Plate1_A11,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624590,WGS,300,1004126700,PRJEB49306,SAMEA11057339,ArrayExpress,378099563,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195170,Plate1_A12,SAMEA11057339,wild type genotype,Plate1_A12,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_A12_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057339,E-MTAB-11254:Plate1_A12,ERP133800,E-MTAB-11254:Plate1_A12,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624591,WGS,300,1053252000,PRJEB49306,SAMEA11057340,ArrayExpress,386504435,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195171,Plate1_A2,SAMEA11057340,wild type genotype,Plate1_A2,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_A2_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:08:00Z,1,SAMEA11057340,E-MTAB-11254:Plate1_A2,ERP133800,E-MTAB-11254:Plate1_A2,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624592,WGS,300,1042073400,PRJEB49306,SAMEA11057341,ArrayExpress,392149094,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195172,Plate1_A4,SAMEA11057341,wild type genotype,Plate1_A4,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_A4_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:07:00Z,1,SAMEA11057341,E-MTAB-11254:Plate1_A4,ERP133800,E-MTAB-11254:Plate1_A4,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624593,WGS,300,1209303300,PRJEB49306,SAMEA11057342,ArrayExpress,445336164,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195173,Plate1_A6,SAMEA11057342,wild type genotype,Plate1_A6,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_A6_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057342,E-MTAB-11254:Plate1_A6,ERP133800,E-MTAB-11254:Plate1_A6,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624594,WGS,300,1204731300,PRJEB49306,SAMEA11057343,ArrayExpress,445525786,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195174,Plate1_A7,SAMEA11057343,wild type genotype,Plate1_A7,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_A7_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057343,E-MTAB-11254:Plate1_A7,ERP133800,E-MTAB-11254:Plate1_A7,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624595,WGS,300,1161913800,PRJEB49306,SAMEA11057344,ArrayExpress,411323365,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195175,Plate1_A8,SAMEA11057344,wild type genotype,Plate1_A8,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_A8_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057344,E-MTAB-11254:Plate1_A8,ERP133800,E-MTAB-11254:Plate1_A8,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624596,WGS,300,1366494300,PRJEB49306,SAMEA11057345,ArrayExpress,484793657,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195176,Plate1_A9,SAMEA11057345,wild type genotype,Plate1_A9,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_A9_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057345,E-MTAB-11254:Plate1_A9,ERP133800,E-MTAB-11254:Plate1_A9,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624597,WGS,300,1047851700,PRJEB49306,SAMEA11057346,ArrayExpress,354145954,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195177,Plate1_B1,SAMEA11057346,wild type genotype,Plate1_B1,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_B1_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:05:00Z,1,SAMEA11057346,E-MTAB-11254:Plate1_B1,ERP133800,E-MTAB-11254:Plate1_B1,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624598,WGS,300,1144555800,PRJEB49306,SAMEA11057347,ArrayExpress,407306442,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195178,Plate1_B10,SAMEA11057347,wild type genotype,Plate1_B10,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_B10_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057347,E-MTAB-11254:Plate1_B10,ERP133800,E-MTAB-11254:Plate1_B10,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624599,WGS,300,1120278000,PRJEB49306,SAMEA11057348,ArrayExpress,386091810,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195179,Plate1_B11,SAMEA11057348,wild type genotype,Plate1_B11,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_B11_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057348,E-MTAB-11254:Plate1_B11,ERP133800,E-MTAB-11254:Plate1_B11,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624600,WGS,300,1124520600,PRJEB49306,SAMEA11057349,ArrayExpress,386697895,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195180,Plate1_B12,SAMEA11057349,wild type genotype,Plate1_B12,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_B12_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057349,E-MTAB-11254:Plate1_B12,ERP133800,E-MTAB-11254:Plate1_B12,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624601,WGS,300,1197474900,PRJEB49306,SAMEA11057350,ArrayExpress,405277471,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195181,Plate1_B2,SAMEA11057350,wild type genotype,Plate1_B2,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_B2_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057350,E-MTAB-11254:Plate1_B2,ERP133800,E-MTAB-11254:Plate1_B2,2022-06-14,2022-06-14,MPIPZ,,,
ERR7624602,WGS,300,1313456400,PRJEB49306,SAMEA11057351,ArrayExpress,442290964,Max Planck Institute for Plant Breeding Research,thale cress,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",sporophyte vegetative stage,Columbia ecotype x Landsberg ecotype,2022-06-14,2022-06-14,ERX7195182,Plate1_B4,SAMEA11057351,wild type genotype,Plate1_B4,MPIPZ,2022-06-14T16:16:54Z,2022-06-14T16:16:54Z,public,Illumina HiSeq 3000,Plate1_B4_p,PAIRED,RANDOM,GENOMIC,leaf,Arabidopsis thaliana,ILLUMINA,2022-06-14T00:00:00Z,2022-06-24T04:06:00Z,1,SAMEA11057351,E-MTAB-11254:Plate1_B4,ERP133800,E-MTAB-11254:Plate1_B4,2022-06-14,2022-06-14,MPIPZ,,,
