Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,label,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,tissue,create_date,version,Cultivar,Ecotype
SRR1946602,3-5 weeks,WGA,52,42649984,PRJNA269994,SAMN03268092,Plant,33781592,UC DAVIS GENOME CENTER,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",rosette,SRX818022,USA,North America,USA,Illumina HiSeq 2000,FRAG00026,FRAG00026,SINGLE,size fractionation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2015-05-14T00:00:00Z,FRAG00026,SRP051357,Leaf,2015-04-13T14:49:00Z,1,Col-0 x Ler,
SRR1970924,3-5 weeks,WGA,50,132288100,PRJNA269994,SAMN03462528,Plant,88514585,UC DAVIS GENOME CENTER,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",rosette,SRX992699,USA,North America,USA,Illumina HiSeq 2000,FRAG00699,FRAG00699A,SINGLE,size fractionation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2015-05-14T00:00:00Z,FRAG00699,SRP051357,Leaf,2015-04-13T16:31:00Z,1,,Col-0
SRR1970925,3-5 weeks,WGA,50,129439850,PRJNA269994,SAMN03462529,Plant,86608559,UC DAVIS GENOME CENTER,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",rosette,SRX992700,USA,North America,USA,Illumina HiSeq 2000,FRAG00700,FRAG00700A,SINGLE,size fractionation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2015-05-14T00:00:00Z,FRAG00700,SRP051357,Leaf,2015-04-13T16:31:00Z,1,,Col-0
SRR1970926,3-5 weeks,WGA,50,180865550,PRJNA269994,SAMN03462530,Plant,120559935,UC DAVIS GENOME CENTER,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",rosette,SRX992701,USA,North America,USA,Illumina HiSeq 2000,FRAG00701,FRAG00701A,SINGLE,size fractionation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2015-05-14T00:00:00Z,FRAG00701,SRP051357,Leaf,2015-04-13T16:32:00Z,1,,Col-0
SRR1970927,3-5 weeks,WGA,50,81186550,PRJNA269994,SAMN03462531,Plant,54624546,UC DAVIS GENOME CENTER,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",rosette,SRX992702,USA,North America,USA,Illumina HiSeq 2000,FRAG00702,FRAG00702A,SINGLE,size fractionation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2015-05-14T00:00:00Z,FRAG00702,SRP051357,Leaf,2015-04-13T16:31:00Z,1,,Col-0
SRR1970928,3-5 weeks,WGA,50,157925100,PRJNA269994,SAMN03462532,Plant,105698572,UC DAVIS GENOME CENTER,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",rosette,SRX992703,USA,North America,USA,Illumina HiSeq 2000,FRAG00705,FRAG00705A,SINGLE,size fractionation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2015-05-14T00:00:00Z,FRAG00705,SRP051357,Leaf,2015-04-13T16:30:00Z,1,,Col-0
SRR1970929,3-5 weeks,WGA,50,48991200,PRJNA269994,SAMN03462533,Plant,31977552,UC DAVIS GENOME CENTER,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",rosette,SRX992704,USA,North America,USA,Illumina HiSeq 2000,FRAG01160,FRAG01160A,SINGLE,size fractionation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2015-05-14T00:00:00Z,FRAG01160,SRP051357,Leaf,2015-04-13T16:30:00Z,1,,Col-0
SRR1970952,3-5 weeks,WGA,50,76700800,PRJNA269994,SAMN03462556,Plant,49799239,UC DAVIS GENOME CENTER,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",rosette,SRX992727,USA,North America,USA,Illumina HiSeq 2000,FRAG01183,FRAG01183A,SINGLE,size fractionation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2015-05-14T00:00:00Z,FRAG01183,SRP051357,Leaf,2015-04-13T16:03:00Z,1,,Col-0
SRR1970953,3-5 weeks,WGA,50,35293250,PRJNA269994,SAMN03462557,Plant,23112942,UC DAVIS GENOME CENTER,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",rosette,SRX992728,USA,North America,USA,Illumina HiSeq 2000,FRAG01184,FRAG01184A,SINGLE,size fractionation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2015-05-14T00:00:00Z,FRAG01184,SRP051357,Leaf,2015-04-13T16:03:00Z,1,,Col-0
SRR1970954,3-5 weeks,WGA,50,58820800,PRJNA269994,SAMN03462558,Plant,38455814,UC DAVIS GENOME CENTER,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",rosette,SRX992729,USA,North America,USA,Illumina HiSeq 2000,FRAG01185,FRAG01185A,SINGLE,size fractionation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2015-05-14T00:00:00Z,FRAG01185,SRP051357,Leaf,2015-04-13T16:04:00Z,1,,Col-0
