Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lib_id,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR14315885,WGS,300,231042600,PRJNA723952,SAMN18854919,Plant,99761957,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671288,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 937 of 1108,C_ta_21,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_ta_21,SRP315964,Leaf
SRR14315886,WGS,300,223972800,PRJNA723952,SAMN18854918,Plant,97450554,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671287,Col-0 x asy1T142V-Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 936 of 1108,C_ta_20,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_ta_20,SRP315964,Leaf
SRR14315887,WGS,300,224124900,PRJNA723952,SAMN18854624,Plant,96114811,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671285,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 642 of 1108,C_aa_94,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_94,SRP315964,Leaf
SRR14315888,WGS,300,161992800,PRJNA723952,SAMN18854623,Plant,69335042,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671284,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 641 of 1108,C_aa_93,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_93,SRP315964,Leaf
SRR14315889,WGS,300,222033000,PRJNA723952,SAMN18854621,Plant,94046947,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671282,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 639 of 1108,C_aa_91,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_91,SRP315964,Leaf
SRR14315890,WGS,300,148564500,PRJNA723952,SAMN18854540,Plant,65249329,UNIVERSITY OF CALIFORNIA DAVIS,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671281,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 558 of 1108,C_aa_10,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_10,SRP315964,Leaf
SRR14315891,WGS,300,184665000,PRJNA723952,SAMN18854620,Plant,78821976,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671280,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 638 of 1108,C_aa_90,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_90,SRP315964,Leaf
SRR14315892,WGS,300,185403600,PRJNA723952,SAMN18854622,Plant,79306845,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Vegetative,Col-0 x Ler-1 hybrids,SRX10671283,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 640 of 1108,C_aa_92,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_92,SRP315964,Leaf
SRR14315893,WGS,300,189802200,PRJNA723952,SAMN18854619,Plant,80474483,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671279,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 637 of 1108,C_aa_89,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_89,SRP315964,Leaf
SRR14315894,WGS,300,213717000,PRJNA723952,SAMN18854618,Plant,90970071,UNIVERSITY OF CALIFORNIA DAVIS,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Vegetative,Col-0 x Ler-1 hybrids,SRX10671278,Col-0 x asy1Col-0/asy1Ler-1,uncalculated,uncalculated,not applicable,Illumina HiSeq 4000,Col/Ler 636 of 1108,C_aa_88,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2022-07-18T00:00:00Z,2021-04-24T08:53:00Z,1,C_aa_88,SRP315964,Leaf
