Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,AssemblyName
SRR6862404,not applicable,WGS,299,3961439247,PRJNA434660,SAMN08567280,Plant,1293517909,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817411,USA,North America,USA:Maryland,Illumina HiSeq 4000,99,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:07:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862405,not applicable,WGS,296,1421272374,PRJNA434660,SAMN08567280,Plant,558725270,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817410,USA,North America,USA:Maryland,Illumina HiSeq 4000,100,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:03:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862406,not applicable,WGS,299,2795990745,PRJNA434660,SAMN08567280,Plant,895548902,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817409,USA,North America,USA:Maryland,Illumina HiSeq 4000,89,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:06:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862407,not applicable,WGS,299,4622783460,PRJNA434660,SAMN08567280,Plant,1432583424,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817408,USA,North America,USA:Maryland,Illumina HiSeq 4000,91,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:10:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862408,not applicable,WGS,298,3599274656,PRJNA434660,SAMN08567280,Plant,1133648998,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817407,USA,North America,USA:Maryland,Illumina HiSeq 4000,86,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:05:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862409,not applicable,WGS,299,3085137323,PRJNA434660,SAMN08567280,Plant,981813558,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817406,USA,North America,USA:Maryland,Illumina HiSeq 4000,88,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:04:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862410,not applicable,WGS,299,4299432211,PRJNA434660,SAMN08567280,Plant,1340515922,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817405,USA,North America,USA:Maryland,Illumina HiSeq 4000,96,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:06:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862411,not applicable,WGS,298,3094230694,PRJNA434660,SAMN08567280,Plant,987022221,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817404,USA,North America,USA:Maryland,Illumina HiSeq 4000,98,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:05:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862412,not applicable,WGS,298,5081054568,PRJNA434660,SAMN08567280,Plant,1622050065,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817403,USA,North America,USA:Maryland,Illumina HiSeq 4000,92,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:09:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862413,not applicable,WGS,298,2960960057,PRJNA434660,SAMN08567280,Plant,946813362,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817402,USA,North America,USA:Maryland,Illumina HiSeq 4000,94,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:05:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862414,not applicable,WGS,298,4207905071,PRJNA434660,SAMN08567280,Plant,1340390432,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817401,USA,North America,USA:Maryland,Illumina HiSeq 4000,14,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:06:00Z,1,AthMu,SRP133100,leaf,TAIR10
SRR6862415,not applicable,WGS,299,2702669423,PRJNA434660,SAMN08567280,Plant,837465132,SOUTH DAKOTA STATE UNIVERSITY,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-8 leaves seedings,Columbia,SRX3817400,USA,North America,USA:Maryland,Illumina HiSeq 4000,13,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2018-12-11T00:00:00Z,2018-03-19T18:06:00Z,1,AthMu,SRP133100,leaf,TAIR10
